parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
W-Hs-Ju-3MM,W-GGCRW-3MM,W,Hs,Ju,G,G,C,R,W,3,M,M,NULL,NULL
W-Hs-Pa-MEA,W-GGCRD-MEA,W,Hs,Pa,G,G,C,R,D,NULL,M,E,A,NULL
W-Hs-Pa-MMA,W-GGCRD-MMA,W,Hs,Pa,G,G,C,R,D,NULL,M,M,A,NULL
W-Hs-Pf-1OE,W-GHCRA-1OE,W,Hs,Pf,G,H,C,R,A,1,O,E,NULL,NULL
W-Hs-Pf-2ME,W-GHCRA-2ME,W,Hs,Pf,G,H,C,R,A,2,M,E,NULL,NULL
W-Hs-Pf-2MM,W-GHCRA-2MM,W,Hs,Pf,G,H,C,R,A,2,M,M,NULL,NULL
W-Hs-Pf-3ME,W-GHCRA-3ME,W,Hs,Pf,G,H,C,R,A,3,M,E,NULL,NULL
W-Hs-Pf-3OM,W-GHCRA-3OM,W,Hs,Pf,G,H,C,R,A,3,O,M,NULL,NULL
W-Pu-Pf-2VE,W-GHVPA-2VE,W,Pu,Pf,G,H,V,P,A,2,V,E,NULL,NULL
W-Pi-Im-2ME,W-GGVAG-2ME-L,W,Pi,Im,G,G,V,A,G,2,M,E,NULL,L
W-Pi-Pf-2VM,W-GHVAA-2VM,W,Pi,Pf,G,H,V,A,A,2,V,M,NULL,NULL
W-Hp-Ki-3MM,WO-GHVRA-3MM,W,Hp,Ki,G,H,V,R,A,3,M,M,NULL,NULL
W-Ni-Ap-3VE,WO-GVGOA-3VE,W,Ni,Ap,G,V,G,O,A,3,V,E,NULL,NULL
W-Ho-Im-2MM,W-GGCPG-2MM,W,Ho,Im,G,G,C,P,G,2,M,M,NULL,NULL
W-Hi-Ic-2MM,W-VGCAA-2MM-N,W,Hi,Ic,V,G,C,A,A,2,M,M,NULL,N
TUS,TUS-P,TUS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P
TUS,TUS-L,TUS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,L
W-Ho-Im-2ME,W-GGCPG-2ME-P,W,Ho,Im,G,G,C,P,G,2,M,E,NULL,P
W-Ni-Ic-1OE,W-VGGOA-1OE-P,W,Ni,Ic,V,G,G,O,A,1,O,E,NULL,P
W-Hp-Ic-1OM,W-VGVRA-1OM,W,Hp,Ic,V,G,V,R,A,1,O,M,NULL,NULL
N-OMA,N-OMA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,M,A,NULL
W-Ht-Pf-3OM,W-GHVVA-3OM,W,Ht,Pf,G,H,V,V,A,3,O,M,NULL,NULL
W-Ho-Ic-2VE,W-VGCPA-2VE,W,Ho,Ic,V,G,C,P,A,2,V,E,NULL,NULL
W-Ni-Im-2ME,W-GGGOG-2ME-P,W,Ni,Im,G,G,G,O,G,2,M,E,NULL,P
W-Qa-Ic-3ME,W-VGGAA-3MM,W,Qa,Ic,V,G,G,A,A,3,M,E,NULL,NULL
W-Pi-Ap-3OM,WO-GVVAA-3OM,W,Pi,Ap,G,V,V,A,A,3,O,M,NULL,NULL
E-OEA,N-OEA,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,A,NULL
N-OEC,N-OEC-L,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,O,E,C,L
W-Hi-Ki-3MM,WO-GHCAA-3MM,W,Hi,Ki,G,H,C,A,A,3,M,M,NULL,NULL
