vidvan,vidtot,textid,referentie
23045007,23045007,109,1625
42007011,42007016,109,1625
41005035,41005042,109,1625
47006010,47006010,109,1624
52004013,52004013,109,1624
46015022,46015028,109,1623
50003020,50003020,109,1623
49001012,49001012,109,1623
43015051,43015055,109,1623
52004013,52004018,109,1623
66020006,66020006,109,1623
43005029,43005029,109,1623
46007039,46007039,109,1620
61003004,61003004,109,1620
52004013,52004013,109,1620
43011030,43011030,109,1620
46007039,46007039,109,1620
43013036,43013036,109,1620
44007060,44007060,109,1620
43011011,43011012,109,1620
44012006,44012006,109,1620
42022045,42022045,109,1620
43021013,43021013,109,1620
40027052,40027052,109,1620
23006011,23006011,109,1617
26037003,26037003,109,1616
27009025,27009025,109,1635
40023033,40023033,109,1639
53001005,53001005,109,1639
66014007,66014007,109,1639
66016007,66016007,109,1639
66018010,66018010,109,1639
66019002,66019002,109,1639
43014030,43014030,109,1639
43016011,43016011,109,1639
23053002,23053003,109,1642
45011032,45011032,109,1644
43013013,43013015,109,1645
2029004,2029004,109,1652
2030019,2030021,109,1652
62001009,62001009,109,1652
44007033,44007033,109,1652
6005015,6005015,109,1652
2003005,2003005,109,1652
43007004,43007008,109,1650
1049017,1049017,109,1650
1025021,1025026,109,1650
1003015,1003015,109,1650
43013005,43013005,109,1649
43012024,43012024,109,1649
43001029,43001029,109,1649
43001009,43001009,109,1649
43001001,43001001,109,1649
45015008,45015008,109,1664
50004006,50004006,109,1664
43007039,43007039,109,1665
62004006,62004006,109,1665
43006063,43006063,109,1665
43020022,43020022,109,1665
1002007,1002007,109,1665
46015045,46015045,109,1665
44002038,44002038,109,1665
44008015,44008017,109,1665
43020023,43020023,109,1665
49001013,49001013,109,1665
43009037,43009037,109,1668
27009026,27009026,109,1668
66019011,66019016,109,1668
43012031,43012031,109,1668
43016011,43016011,109,1668
19080008,19080016,109,1672
23005007,23005007,109,1672
24002021,24002021,109,1672
7009013,7009013,109,1672
28010001,28010001,109,1672
58002001,58002001,109,1674
58003006,58003006,109,1674
58003012,58003012,109,1674
58006004,58006006,109,1674
50002013,50002013,109,1676
43012031,43012031,109,1681
43014030,43014030,109,1681
43016011,43016011,109,1681
51001025,51001025,109,1682
49001004,49001004,109,1682
46015024,46015024,109,1682
45003023,45003023,109,1691
45007015,45007015,109,1707
42003002,42003002,109,1710
41015025,41015025,109,1724
19022014,19022015,109,1729
19069021,19069021,109,1729
3023007,3023007,109,1731
42008002,42008003,109,1740
5034000,5034000,109,1749
40017027,40017027,109,1749
41001016,41001016,109,1749
40013047,40013047,109,1749
42005004,42005006,109,1749
43013037,43013037,109,1753
43001014,43001014,109,1753
42001003,42001003,110,1757
42024047,42024047,110,1762
38014003,38014004,110,1764
27007013,27007013,110,1764
66001007,66001007,110,1764
40024030,40024030,110,1764
44010004,44010004,110,1765
44003018,44003018,110,1765
40010003,40010003,110,1765
44004034,44004034,110,1766
40027007,40027007,110,1767
40019028,40019028,110,1768
20016033,20016033,110,1769
2023014,2023014,110,1772
43020022,43020022,110,1773
44001008,44001008,110,1773
44002032,44002032,110,1774
44002027,44002027,110,1777
44002027,44002027,110,1779
49003009,49003009,110,1779
47005020,47005020,110,1779
10023005,10023005,110,1784
58010025,58010025,110,1784
44012007,44012007,110,1786
21012007,21012007,110,1786
1003019,1003019,110,1786
42023046,42023046,110,1786
46015038,46015038,110,1786
40018027,40018034,110,1791
58006006,58006006,110,1791
58010027,58010027,110,1791
45005011,45005011,110,1791
27009007,27009007,110,1792
44004016,44004016,110,1798
23035006,23035006,110,1798
42002043,42002043,110,1800
42023034,42023034,110,1802
5018019,5018019,110,1804
40002016,40002016,110,1805
42002043,42002043,110,1805
40012018,40012018,110,1805
44003013,44003013,110,1805
40004027,40004030,110,1805
40023002,40023002,110,1809
40027063,40027063,110,1810
40028013,40028013,110,1810
40019027,40019027,110,1812
45013001,45013001,110,1812
19002010,19002012,110,1814
26047013,26047013,110,1817
40026036,40026036,110,1818
3025034,3025034,110,1819
26048013,26048014,110,1819
47005010,47005010,110,1823
19018044,19018044,110,1825
19081015,19081015,110,1825
19066003,19066003,110,1825
44004003,44004003,110,1828
44004019,44004019,110,1833
44022003,44022003,110,1835
46004009,46004009,110,1838
40026061,40026061,110,1844
43002021,43002021,110,1844
40023038,40023038,110,1844
40024002,40024002,110,1844
43002019,43002019,110,1844
43002022,43002022,110,1844
1046026,1046027,110,1851
2013019,2013019,110,1853
1033019,1033019,110,1853
2003002,2003004,110,1858
2019003,2019003,110,1858
48003019,48003019,110,1858
58002002,58002002,110,1858
51001015,51001015,110,1862
44005025,44005027,110,1862
14036014,14036014,110,1862
30001001,30001001,110,1862
11012025,11012030,110,1862
26009003,26009003,110,1865
26010004,26010004,110,1865
44011023,44011023,110,1865
43001014,43001014,110,1865
44022022,44022022,110,1866
42019014,42019014,110,1868
49001013,49001013,110,1878
44002038,44002038,110,1876
43002023,43002025,110,1874
12017024,12017027,110,1873
44001008,44001008,110,1873
52005010,52005010,110,1900
44020009,44020009,110,1900
66020004,66020004,110,1900
66020005,66020005,110,1900
66014013,66014013,110,1899
24033009,24033009,110,1899
44028007,44028007,110,1899
44028021,44028021,110,1899
44014008,44014008,110,1899
45011011,45011011,110,1898
45010001,45010001,110,1898
44022017,44022018,110,1898
47011032,47011033,110,1896
48001017,48001018,110,1895
44002029,44002030,110,1894
50001029,50001029,110,1893
47011023,47011033,110,1893
44022009,44022009,110,1890
54001012,54001016,110,1887
44007058,44007058,110,1885
48002011,48002012,110,1912
44002038,44002038,110,1912
44011018,44011018,110,1911
44015007,44015007,110,1910
40025034,40025036,110,1908
44011014,44011014,110,1908
45011006,45011006,110,1907
45005001,45005011,110,1907
44013014,44013014,110,1923
44011027,44011027,110,1923
60004016,60004016,110,1922
44026028,44026028,110,1922
44014027,44014027,110,1918
44008019,44008019,110,1918
51002012,51002012,110,1917
49004005,49004005,110,1917
46001017,46001017,110,1917
46001014,46001016,110,1917
45006003,45006003,110,1917
44016015,44016015,110,1917
44001005,44001005,110,1916
44018004,44018004,110,1915
44017004,44017004,110,1915
44016014,44016014,110,1915
44014001,44014001,110,1915
44013043,44013043,110,1915
44014007,44014007,110,1915
44013007,44013007,110,1915
42024047,42024047,110,1915
42024033,42024033,110,1915
44011030,44011030,110,1933
48001019,48001019,110,1928
42008021,42008021,110,1928
43021018,43021018,110,1926
43001042,43001042,110,1926
44021020,44021020,110,1944
40018023,40018025,110,1944
44013033,44013033,110,1941
44002030,44002031,110,1941
44017001,44017004,110,1941
44008014,44008014,110,1938
45011025,45011025,110,1938
51002014,51002014,110,1962
49002015,49002015,110,1962
30009011,30009012,110,1959
49002015,49002015,110,1958
48002011,48002021,110,1958
48002001,48002005,110,1954
44012003,44012019,110,1982
44020006,44020006,110,1973
46001026,46001026,110,2004
53002006,53002006,110,1991
52001009,52001009,110,1989
52001008,52001008,110,1989
44020006,44020006,110,1989
44017014,44017014,110,1989
50002010,50002010,110,1989
46002004,46002004,110,2019
46002001,46002001,110,2019
56003013,56003013,110,2019
46001012,46001012,110,2019
46003010,46003010,110,2019
46003006,46003006,110,2019
46001001,46001001,110,2013
46003010,46003010,110,2011
46002003,46002003,110,2011
52002015,52002016,110,2010
55004014,55004014,110,2035
45005012,45005021,110,2032
47005014,47005021,110,2032
45015019,45015019,110,2032
49006012,49006012,110,2029
44020020,44020020,110,2027
44020034,44020034,110,2027
46001017,46001017,110,2024
51002001,51002001,110,2022
49001003,49001003,110,2057
47012004,47012004,110,2055
55001015,55001015,110,2054
51001025,51001027,110,2051
49003001,49003009,110,2051
49001009,49001009,110,2051
46013009,46013012,110,2047
52005010,52005010,110,2046
46015051,46015051,110,2046
66020004,66020005,110,2046
47002012,47002013,110,2045
44016008,44016009,110,2045
47003018,47003018,110,2042
45009004,45009005,110,2070
45007012,45007012,110,2070
49002014,49002014,110,2070
45015031,45015031,110,2068
43002023,43002025,110,2068
48002012,48002012,110,2067
48002009,48002009,110,2067
44015013,44015021,110,2067
48001019,48001019,110,2067
48002010,48002010,110,2065
44011028,44011028,110,2065
44008040,44008040,110,2063
47011024,47011024,110,2086
44019037,44019037,110,2086
44018012,44018017,110,2086
40018023,40018023,110,2085
48001017,48001018,110,2083
44009015,44009015,110,2081
44026017,44026017,110,2081
44009007,44009007,110,2080
42023007,42023007,110,2099
44009015,44009015,110,2098
44027024,44027024,110,2092
44018009,44018009,110,2092
44022027,44022027,110,2089
44022002,44022002,110,2089
44021037,44021037,110,2089
49003009,49003009,110,2140
45016025,45016025,110,2138
46015015,46015015,110,2138
44013038,44013038,110,2137
42010043,42010043,110,2137
42005031,42005031,110,2137
44002038,44002038,110,2137
42024047,42024047,110,2137
44001021,44001021,110,2136
44009007,44009007,110,2134
44022007,44022007,110,2132
26037001,26037014,110,2131
27012002,27012002,110,2131
54001015,54001015,110,2128
50003006,50003006,110,2128
44023001,44023001,110,2128
51004010,51004010,110,2146
57001024,57001024,110,2146
44020004,44020004,110,2146
44019029,44019029,110,2146
55004011,55004011,110,2144
57001024,57001024,110,2144
45011026,45011026,110,2174
40013014,40013015,110,2174
23006009,23006010,110,2174
41016018,41016018,110,2164
35002004,35002004,111,2188
45015016,45015016,111,2182
48002009,48002009,111,2182
43011044,43011044,111,2181
42007011,42007016,111,2181
41005035,41005042,111,2181
43005026,43005026,111,2181
45016025,45016027,111,2180
44013002,44013002,111,2180
45001026,45001026,111,2215
45002027,45002027,111,2215
19014002,19014003,111,2238
45001017,45001017,111,2245
49002008,49002008,111,2275
46015022,46015022,111,2306
42012050,42012050,111,2330
46012013,46012013,111,2330
45002007,45002007,111,2338
1002024,1002024,111,2365
2032019,2032019,111,2369
50003021,50003021,111,2409
49003001,49003001,111,2470
66007009,66007009,111,2468
66007004,66007004,111,2468
28001009,28001011,111,2467
28002023,28002023,111,2467
45005018,45005018,111,2465
1017018,1017020,111,2462
