id,Heb,translit,Hebz,stamgegevens,parent,vergelijk,taal
1568,ארשׂ,<sup>ʔ</sup>áras,ארש,IN+ONDERTROUW+NEMEN,NULL,NULL,H
1569,צלח,<sup>t</sup>sála<sup>c</sup>h,צלח,BINNENDRINGEN,NULL,NULL,H
1570,זנה,zánáh,זנה,ONTUCHT,NULL,NULL,H
1571,יזן,jázan,יזנ,HITSIG,NULL,NULL,H
1572,זון,zun,זונ,WELDOORVOED,NULL,NULL,H
1573,שׁחה,s<sup>h</sup>á<sup>c</sup>hah,שחה,NEERBUIGEN,NULL,NULL,H
1574,שׁיח,s<sup>h</sup>ája<sup>c</sup>h,שיח,WEGSMELTEN,NULL,NULL,H
1575,שׂוח,sáwa<sup>c</sup>h,שוח,RONDWANDELEN,NULL,NULL,H
1576,שׂיח,sája<sup>c</sup>h,שיח,MIJMEREN,NULL,NULL,H
1577,שׂחה,sá<sup>c</sup>hah,שחה,ZWEMMEN,NULL,NULL,H
1578,שׂיח,sája<sup>c</sup>h,שיח,OPGROEIEN,NULL,NULL,H
1579,גנן,gánan,גננ,BESCHUTTEN,NULL,NULL,H
1580,אגן,<sup>ʔ</sup>-g-l,אגנ,DIEPE+SCHAAL,NULL,NULL,H
1581,מגן,mágan,מגנ,OVERLEVEREN,NULL,NULL,H
1582,מגן,mágan,מגנ,ONEER,NULL,NULL,H
1583,גאה,gá<sup>ʔ</sup>áh,גאה,VERHEVEN,NULL,NULL,H
1585,šukēnu,šukēnu,šukēnu,ARM (gebrek),NULL,NULL,NULL
1586,šakānu,šakānu,šakānu,BERGPLAATS,NULL,NULL,NULL
1587,סכן,sác<sup>h</sup>an,סכנ,ONDERGAAN,NULL,NULL,H
1588,זמר,zámar,זמר,MUZIEK,NULL,NULL,H
1589,זמר,zámar,זמר,BESCHERMEN (Amor),NULL,NULL,H
1590,זמר,zámar,זמר,SNOEIEN,NULL,NULL,H
1591,זמר,zámar,זמר,SPRONG,NULL,NULL,H
1592,ψαλτηριον,ψαλτηριον,ψαλτηριον,DRIEHOEKIGE+HARP,NULL,NULL,NULL
1593,פעה,pá<sup>ʕ</sup>áh,פעה,PUFFEN,NULL,NULL,H
1594,שׁלף,s<sup>h</sup>álaf,שלפ,ERUIT+TREKKEN,NULL,NULL,H
1595,נתק,ná-t<sup>h</sup>aq,נתק,LOSRUKKEN,NULL,NULL,H
1596,עתק,<sup>ʕ</sup>á-t<sup>h</sup>aq,עתק,VOORTGAAN,NULL,NULL,H
1597,סחב,sá<sup>c</sup>hav,סחב,SLEPEN,NULL,NULL,H
1598,בלס,bálas,בלס,SCHRAMMEN,NULL,NULL,H
1599,ברר,bárar,ברר,ZUIVEREN,NULL,NULL,H
1600,ברי,b-r-j,ברי,PORTIE,NULL,NULL,H
1601,באר,bá<sup>ʔ</sup>ar,באר,BRON,NULL,NULL,H
1602,barru,barru,barru,OPEN+VELD,NULL,NULL,NULL
1603,זכה,zác<sup>h</sup>áh,זכה,SMETTELOOS,NULL,NULL,H
1604,argaman,argaman,argaman,PAARS,NULL,NULL,NULL
1605,רדף,rádaf,רדפ,ACHTERVOLGEN,NULL,NULL,H
1606,אוד,<sup>ʔ</sup>-w-d,אוד,POOK,NULL,NULL,H
1607,a-dé-a,a-dé-a,a-dé-a,VLOED+UIT+DIEPTE,NULL,NULL,-
1608,אודת,<sup>ʔ</sup>-w-d-t<sup>h</sup>,אודת,OORZAAK,NULL,NULL,H
1609,איד,<sup>ʔ</sup>-j-d,איד,RAMP,NULL,NULL,H
1610,יצג,já<sup>t</sup>sag,יצג,LEGGEN,NULL,NULL,H
1611,מקק,máqaq,מקק,WEGROTTEN,NULL,NULL,H
1612,שׂלוי,sׂ-l-w-j,שלוי,KWAKKEL,NULL,NULL,H
1613,רעשׁ,rá<sup>ʕ</sup>as<sup>h</sup>,רעש,SCHUDDEN,NULL,NULL,H
1614,שׂור,sáwar,שור,HOEVEELHEID,NULL,NULL,H
1615,שׁרה,s<sup>h</sup>árah,שרה,WEKEN,NULL,NULL,H
1616,פורה,p-w-r-h,פורה,KUIP,NULL,NULL,H
1617,fra-bar,fra-bar,fra-bar,VOORHOF,NULL,NULL,-
1618,כבה,káváh,כבה,DOVEN,NULL,NULL,H
1619,בקר,báqar,בקר,GOED+BEKIJKEN,NULL,NULL,H
1620,שׁקט,s<sup>h</sup>áqat,שקט,RUST+HEBBEN,NULL,NULL,H
1621,רעד,rá<sup>ʕ</sup>ad,רעד,BEVEN (van angst),NULL,NULL,H
1622,זרח,zára<sup>c</sup>h,זרח,OPKOMEN,NULL,NULL,H
1623,גדד,gádad,גדד,OPENSNIJDEN,NULL,NULL,H
1624,גדוד,g-d-w-d,גדוד,BENDE,NULL,NULL,H
1625,גד,g-d,גד,KORIANDER,NULL,NULL,H
1626,גדי,g-d-j,גדי,GEITJE,NULL,NULL,H
1627,גיד,g-j-d,גיד,PEES,NULL,NULL,H
1628,מגד,m-g-d,מגד,KOSTBAAR,NULL,NULL,H
