vid,Woord,id
19017014,16,62891
19017014,17,62581
19018051,1,37496
19024006,3,34175
19024006,4,62411
19026002,7,80743
19030004,9,5229
19030004,10,36897
19030004,11,62479
19038021,9,40461
19038021,10,62479
19039001,4,3863
19039001,5,91939
19041003,7,779
19041003,8,53272
19042009,10,54534
19042009,11,62412
19049015,18,791
19049015,19,66810
19049015,20,62748
19051004,1,8631
19054007,1,21675
19055016,1,20679
19055016,2,47955
19056007,2,62881
19058008,8,61722
19058008,9,62411
19059011,2,46409
19059011,3,62495
19059016,2,25786
19060007,8,778
19060007,9,45066
19060007,10,62512
19066007,15,31610
19071012,11,75792
19071020,2,2731
19071020,3,62513
19071020,9,23003
19071020,10,62472
19072017,9,92112
19073002,5,37775
19073002,10,34302
19073010,2,21977
19073016,7,62344
19074006,1,791
19074006,2,22272
19074011,10,42539
19074011,11,62576
19077001,5,91938
19077012,1,32073
19077020,6,792
19077020,7,89927
19077020,8,62575
19079010,9,198
19079010,10,650
19079010,11,35474
19085002,6,74743
19089018,10,31578
19089029,3,14042
19090008,1,20786
19092016,10,83208
19100003,9,779
19100003,10,3761
19100003,11,62412
19101005,1,92193
19102024,5,25753
19102024,6,62495
19105018,5,32852
19105018,6,62412
19105028,9,36378
19105028,10,62430
19106045,11,46432
19106045,12,62431
19119079,6,789
19119079,7,18861
19119147,7,3766
19119147,8,36373
19119147,9,62594
19119161,5,790
19119161,6,5229
19119161,7,36404
19119161,8,62603
19123004,13,3766
19123004,14,86986
19123004,15,67933
19126004,4,78149
19126004,5,62543
19129003,7,3862
19129003,8,92297
19129003,9,62766
19139006,1,80955
19139016,15,779
19139016,16,3757
19139016,17,62414
19140010,7,31751
19140010,8,62767
19140011,1,72854
19140013,1,18879
19145006,6,780
19145006,7,83460
19145006,8,62594
19147019,2,36447
19147019,3,62411
19148002,9,9786
19148002,10,62431
20001027,3,9186
20001027,4,87395
20002007,1,62877
20002008,7,78712
20002008,8,62411
20003015,3,5229
20003015,4,92541
20003027,11,22817
20003027,12,62576
20003028,3,3862
20003028,4,36624
20003028,5,62616
20003030,2,51679
20003034,7,789
20003034,8,3866
20003034,9,74008
20004016,13,73350
20006013,2,204
20006013,3,19168
20006013,4,62411
20006013,6,195
20006013,7,32920
20006013,8,62411
20006014,10,92691
20006016,7,59806
20008017,2,48403
20008017,3,62494
20008035,4,16702
20011003,8,80559
20011003,9,62766
20012014,11,21676
20013020,1,13279
20013020,4,62222
20014021,8,74011
20015014,5,780
20015014,6,25639
20016019,5,74014
20016027,7,36240
20016027,8,62412
20017013,6,65554
20017027,6,81739
20018017,7,780
20018017,8,16299
20018019,6,790
20018019,7,92692
20019007,15,3789
20019007,16,62413
20019016,9,15090
20019019,1,7082
20020004,6,779
20020004,7,50058
20020016,9,54235
20020020,10,205
20020020,11,92765
20020021,2,60071
20020030,3,92769
20021019,8,92693
20021029,10,59076
20021029,11,23705
20021029,12,62430
20022003,4,779
20022003,5,26363
20022008,3,72326
20022011,2,31087
20022014,7,16872
20022020,6,65601
20022025,3,44251
20022025,4,62411
20023003,2,73835
20023005,1,20628
20023005,2,8146
20023005,18,8137
