id,vidBegin,Woord,type,par,cit
1105,41015006,,p,1,0
1107,41015009,,p,1,0
1108,41015012,,p,1,0
1109,41015016,,p,1,0
1110,41015021,,p,1,0
1111,41015029,,p,1,0
1112,41015033,,p,1,0
1113,41015036,,p,1,0
1114,41015037,,p,1,0
1115,41015042,,p,1,0
1116,41015046,,p,1,0
1117,41016001,,p,1,0
1118,41016005,,p,1,0
1119,41016009,,p,1,0
1120,41016012,,p,1,0
1121,41016014,,p,1,0
1122,41016019,,p,1,0
1123,41001004,,p,1,0
1124,45003005,,p,1,0
1125,45003019,,p,1,0
1126,45004009,,p,1,0
1127,45008037,,p,1,0
1128,45009027,,p,1,0
1129,45009030,,p,1,0
1131,45010019,,p,1,0
1132,45011011,,p,1,0
1133,45011028,,p,1,0
1134,45015013,,p,1,0
1135,45015022,,p,1,0
1136,48004027,-1,in*,0,0
1137,49004008,-1,in*,0,0
1138,66005011,,p,1,0
1139,66005013,,p,1,0
1140,66005014,,p,1,0
1141,66007011,,p,1,0
1142,66015005,,p,1,0
1143,52001001,20,p,1,0
1145,41014029,,p,1,0
1146,51004018,14,p,1,0
1147,58001001,,p,1,0
1148,58001005,,p,1,0
1149,58001005,9,q,0,1
1150,58001005,9,in,0,0
1151,58001005,13,in*,0,0
1152,58001005,13,in,0,0
1153,58001005,18,in*,0,0
1154,58001005,18,q*,0,0
1155,58001005,21,q,0,1
1156,58001005,21,in,0,0
1159,58001005,-1,in*,0,0
1160,58001005,-1,q*,0,0
1161,58001006,,p,1,0
1163,58001007,,p,1,0
1164,58001007,8,q,0,1
1165,58001007,8,in,0,0
1166,58001007,15,in*,0,0
1167,58001007,15,in,0,0
1169,58001007,-1,in*,0,0
1170,58001007,-1,q*,0,0
1171,58001008,6,qml,0,0
1172,58001008,6,in,0,0
1173,58001008,18,in*,0,0
1174,58001008,18,in,0,0
1175,58001008,-1,in*,0,0
1176,58001009,,in,0,0
1177,58001009,7,in*,0,0
1178,58001009,7,in,0,0
1179,58001009,-1,in*,0,0
1180,58001009,-1,qml*,0,0
1181,58001010,3,qml,0,0
1182,58001010,3,in,0,0
1183,58001010,12,in*,0,0
1184,58001010,12,in,0,0
1185,58001010,-1,in*,0,0
1186,58001011,,in,0,0
1187,58001011,6,in*,0,0
1188,58001011,6,in,0,0
1189,58001011,-1,in*,0,0
