id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
542,K/Q,16010020,3,3,3,3
543,K/Q,16011017,29,29,29,29
544,K/Q,16012009,3,4,3,4
545,K/Q,16012014,1,2,1,2
546,K/Q,16012016,1,2,1,2
547,K/Q,16012046,9,9,9,9
548,K/Q,16013023,13,14,13,14
549,K/Q,17001016,3,3,3,3
550,K/Q,17003004,3,5,3,5
551,K/Q,17004004,1,2,1,2
552,K/Q,17004007,25,27,25,27
553,K/Q,17008001,18,19,18,19
554,K/Q,17008007,33,35,33,35
555,K/Q,17008013,20,22,20,22
556,K/Q,17009015,3,4,3,4
557,K/Q,17009018,1,3,1,3
558,K/Q,17009019,5,6,5,6
559,K/Q,17009027,2,3,2,3
560,K/Q,17010001,5,5,5,5
561,K/Q,18001004,18,19,18,19
562,K/Q,18001010,3,3,3,3
563,K/Q,18001021,4,4,4,4
564,K/Q,18002007,20,20,20,21
565,K/Q,18005018,7,9,7,9
566,K/Q,18006002,6,8,6,8
567,K/Q,18006021,4,4,4,5
568,K/Q,18006029,6,7,6,7
569,K/Q,18007001,6,6,6,6
570,K/Q,18007005,5,6,5,6
571,K/Q,18009013,6,7,6,7
572,K/Q,18009030,3,3,3,4
573,K/Q,18010020,6,7,6,9
574,K/Q,18013015,4,4,4,5
575,K/Q,18014005,10,11,10,11
576,K/Q,18015015,2,4,2,4
577,K/Q,18015022,6,7,6,7
578,K/Q,18015031,3,5,3,5
579,K/Q,18016016,3,3,3,3
580,K/Q,18019029,13,14,13,14
581,K/Q,18020011,4,5,4,5
582,K/Q,18021013,1,1,1,1
583,K/Q,18021020,2,3,2,3
584,K/Q,18024001,7,9,7,9
585,K/Q,18024006,6,6,6,6
586,K/Q,18026012,7,10,7,10
587,K/Q,18026014,4,5,4,5
588,K/Q,18026014,15,16,15,16
589,K/Q,18027015,1,2,1,2
590,K/Q,18030011,2,3,2,3
591,K/Q,18030022,10,10,10,10
592,K/Q,18031011,2,2,2,2
593,K/Q,18031011,4,5,4,5
594,K/Q,18031020,5,6,5,6
